Tier,ID,Name,Health,Damage,Defense,Silver Min,Silver Max,XP,Loot
1,RABBIT,Rabbit,120,6,2,10,20,100,"T1_HIDE (60%), T1_DUNGEON_MAP (1%)"
1,GOBLIN_SCOUT,Goblin Scout,180,8,4,20,40,180,"T1_ORE (30%), T1_DUNGEON_MAP (2%)"
2,WOLF,Wolf,400,18,10,50,100,450,"T2_HIDE (50%), T2_DUNGEON_MAP (1%)"
2,DIRE_RAT,Dire Rat,600,22,15,80,150,800,"T2_HIDE (40%), T2_DUNGEON_MAP (2%)"
3,BEAR,Bear,1100,50,30,200,400,2000,"T3_HIDE (50%), T3_DUNGEON_MAP (1%)"
3,MOUNTAIN_GOBLIN,Mountain Goblin,1600,65,45,350,600,3500,"T3_ORE (40%), T3_DUNGEON_MAP (2%)"
4,DIRE_WOLF,Dire Wolf,3500,160,80,1000,2000,8000,"T4_HIDE (40%), T4_DUNGEON_MAP (1%)"
4,GHOST_KNIGHT,Ghost Knight,5000,200,110,1800,3000,14000,"T4_BAR (20%), T4_DUNGEON_MAP (2%)"
5,OGRE,Ogre,10000,450,250,5000,8000,40000,"T5_HIDE (40%), T5_DUNGEON_MAP (1%)"
5,WAR_OGRE,War Ogre,15000,600,350,8000,12000,70000,"T5_HIDE (30%), T5_DUNGEON_MAP (2%)"
6,TROLL,Mountain Troll,30000,1200,600,20000,35000,200000,"T6_HIDE (30%), T6_DUNGEON_MAP (1%)"
6,ARMORED_TROLL,Armored Troll,45000,1600,800,35000,55000,350000,"T6_HIDE (25%), T6_DUNGEON_MAP (2%)"
7,DRAGON_WHELP,Dragon Whelp,90000,3500,1500,100000,150000,1000000,"T7_HIDE (30%), T7_DUNGEON_MAP (1%)"
7,FIRE_DRAKE,Fire Drake,130000,4500,2000,180000,250000,1800000,"T7_HIDE (25%), T7_DUNGEON_MAP (2%)"
8,ANCIENT_GOLEM,Ancient Golem,250000,9000,4000,500000,800000,5000000,"T8_ORE (30%), T8_DUNGEON_MAP (1%)"
8,OBSIDIAN_GOLEM,Obsidian Golem,350000,12000,5500,800000,1200000,8000000,"T8_ORE (25%), T8_DUNGEON_MAP (2%)"
9,ELDER_DRAGON,Elder Dragon,700000,25000,10000,2000000,3500000,25000000,"T9_HIDE (25%), T9_DUNGEON_MAP (1%)"
9,VOID_DRAGON,Void Dragon,1000000,32000,13000,3500000,5500000,40000000,"T9_HIDE (20%), T9_DUNGEON_MAP (2%)"
10,ANCIENT_DRAGON,Ancient Dragon,3000000,60000,25000,10000000,15000000,120000000,"T10_HIDE (20%), T10_DUNGEON_MAP (1%)"
10,VOID_DRAGON_LORD,Void Dragon Lord,4500000,85000,35000,18000000,25000000,200000000,"T10_HIDE (15%), T10_DUNGEON_MAP (2%)"
