Category;Slot;Item ID;Full Name;Tier;Quality;IP;Damage;Defense;HP;Attack Speed / Speed;Crit Chance;Efficiency %;Resources Required
Warrior;SWORD;T1_SWORD;"Sword";1;Normal;100;62.6;0;0;27.1;0;0;"20x T1_BAR"
Warrior;SWORD;T1_SWORD_Q1;"Good Sword";1;Good;120;65.7;0;0;28.4;0;0;"20x T1_BAR"
Warrior;SWORD;T1_SWORD_Q2;"Outstanding Sword";1;Outstanding;150;69;0;0;29.8;0;0;"20x T1_BAR"
Warrior;SWORD;T1_SWORD_Q3;"Excellent Sword";1;Excellent;200;72.4;0;0;31.3;0;0;"20x T1_BAR"
Warrior;SWORD;T1_SWORD_Q4;"Masterpiece Sword";1;Masterpiece;300;76;0;0;32.9;0;0;"20x T1_BAR"
Warrior;SWORD;T2_SWORD;"Sword";2;Normal;200;79.8;0;0;34.5;0;0;"20x T2_BAR"
Warrior;SWORD;T2_SWORD_Q1;"Good Sword";2;Good;220;83.8;0;0;36.3;0;0;"20x T2_BAR"
Warrior;SWORD;T2_SWORD_Q2;"Outstanding Sword";2;Outstanding;250;88;0;0;38.1;0;0;"20x T2_BAR"
Warrior;SWORD;T2_SWORD_Q3;"Excellent Sword";2;Excellent;300;92.4;0;0;40;0;0;"20x T2_BAR"
Warrior;SWORD;T2_SWORD_Q4;"Masterpiece Sword";2;Masterpiece;400;97;0;0;42;0;0;"20x T2_BAR"
Warrior;SWORD;T3_SWORD;"Sword";3;Normal;300;101.9;0;0;44.1;0;0;"20x T3_BAR"
Warrior;SWORD;T3_SWORD_Q1;"Good Sword";3;Good;320;107;0;0;46.3;0;0;"20x T3_BAR"
Warrior;SWORD;T3_SWORD_Q2;"Outstanding Sword";3;Outstanding;350;112.3;0;0;48.6;0;0;"20x T3_BAR"
Warrior;SWORD;T3_SWORD_Q3;"Excellent Sword";3;Excellent;400;118;0;0;51;0;0;"20x T3_BAR"
Warrior;SWORD;T3_SWORD_Q4;"Masterpiece Sword";3;Masterpiece;500;123.9;0;0;53.6;0;0;"20x T3_BAR"
Warrior;SWORD;T4_SWORD;"Sword";4;Normal;400;130.1;0;0;56.2;0;0;"20x T4_BAR"
Warrior;SWORD;T4_SWORD_Q1;"Good Sword";4;Good;420;136.6;0;0;59.1;0;0;"20x T4_BAR"
Warrior;SWORD;T4_SWORD_Q2;"Outstanding Sword";4;Outstanding;450;143.4;0;0;62;0;0;"20x T4_BAR"
Warrior;SWORD;T4_SWORD_Q3;"Excellent Sword";4;Excellent;500;150.5;0;0;65.1;0;0;"20x T4_BAR"
Warrior;SWORD;T4_SWORD_Q4;"Masterpiece Sword";4;Masterpiece;600;158.1;0;0;68.4;0;0;"20x T4_BAR"
Warrior;SWORD;T5_SWORD;"Sword";5;Normal;500;166;0;0;71.8;0;0;"20x T5_BAR"
Warrior;SWORD;T5_SWORD_Q1;"Good Sword";5;Good;520;174.3;0;0;75.4;0;0;"20x T5_BAR"
Warrior;SWORD;T5_SWORD_Q2;"Outstanding Sword";5;Outstanding;550;183;0;0;79.1;0;0;"20x T5_BAR"
Warrior;SWORD;T5_SWORD_Q3;"Excellent Sword";5;Excellent;600;192.1;0;0;83.1;0;0;"20x T5_BAR"
Warrior;SWORD;T5_SWORD_Q4;"Masterpiece Sword";5;Masterpiece;700;201.8;0;0;87.3;0;0;"20x T5_BAR"
Warrior;SWORD;T6_SWORD;"Sword";6;Normal;600;211.8;0;0;91.6;0;0;"20x T6_BAR"
Warrior;SWORD;T6_SWORD_Q1;"Good Sword";6;Good;620;222.4;0;0;96.2;0;0;"20x T6_BAR"
Warrior;SWORD;T6_SWORD_Q2;"Outstanding Sword";6;Outstanding;650;233.6;0;0;101;0;0;"20x T6_BAR"
Warrior;SWORD;T6_SWORD_Q3;"Excellent Sword";6;Excellent;700;245.2;0;0;106.1;0;0;"20x T6_BAR"
Warrior;SWORD;T6_SWORD_Q4;"Masterpiece Sword";6;Masterpiece;800;257.5;0;0;111.4;0;0;"20x T6_BAR"
Warrior;SWORD;T7_SWORD;"Sword";7;Normal;700;270.4;0;0;116.9;0;0;"20x T7_BAR"
Warrior;SWORD;T7_SWORD_Q1;"Good Sword";7;Good;720;283.9;0;0;122.8;0;0;"20x T7_BAR"
Warrior;SWORD;T7_SWORD_Q2;"Outstanding Sword";7;Outstanding;750;298.1;0;0;128.9;0;0;"20x T7_BAR"
Warrior;SWORD;T7_SWORD_Q3;"Excellent Sword";7;Excellent;800;313;0;0;135.4;0;0;"20x T7_BAR"
Warrior;SWORD;T7_SWORD_Q4;"Masterpiece Sword";7;Masterpiece;900;328.6;0;0;142.1;0;0;"20x T7_BAR"
Warrior;SWORD;T8_SWORD;"Sword";8;Normal;800;345.1;0;0;149.2;0;0;"20x T8_BAR"
Warrior;SWORD;T8_SWORD_Q1;"Good Sword";8;Good;820;362.3;0;0;156.7;0;0;"20x T8_BAR"
Warrior;SWORD;T8_SWORD_Q2;"Outstanding Sword";8;Outstanding;850;380.4;0;0;164.5;0;0;"20x T8_BAR"
Warrior;SWORD;T8_SWORD_Q3;"Excellent Sword";8;Excellent;900;399.5;0;0;172.8;0;0;"20x T8_BAR"
Warrior;SWORD;T8_SWORD_Q4;"Masterpiece Sword";8;Masterpiece;1000;419.4;0;0;181.4;0;0;"20x T8_BAR"
Warrior;SWORD;T9_SWORD;"Sword";9;Normal;900;440.4;0;0;190.5;0;0;"20x T9_BAR"
Warrior;SWORD;T9_SWORD_Q1;"Good Sword";9;Good;920;462.4;0;0;200;0;0;"20x T9_BAR"
Warrior;SWORD;T9_SWORD_Q2;"Outstanding Sword";9;Outstanding;950;485.5;0;0;210;0;0;"20x T9_BAR"
Warrior;SWORD;T9_SWORD_Q3;"Excellent Sword";9;Excellent;1000;509.8;0;0;220.5;0;0;"20x T9_BAR"
Warrior;SWORD;T9_SWORD_Q4;"Masterpiece Sword";9;Masterpiece;1100;535.3;0;0;231.5;0;0;"20x T9_BAR"
Warrior;SWORD;T10_SWORD;"Sword";10;Normal;1000;562.1;0;0;243.1;0;0;"20x T10_BAR"
Warrior;SWORD;T10_SWORD_Q1;"Good Sword";10;Good;1020;590.2;0;0;255.3;0;0;"20x T10_BAR"
Warrior;SWORD;T10_SWORD_Q2;"Outstanding Sword";10;Outstanding;1050;619.7;0;0;268;0;0;"20x T10_BAR"
Warrior;SWORD;T10_SWORD_Q3;"Excellent Sword";10;Excellent;1100;650.7;0;0;281.4;0;0;"20x T10_BAR"
Warrior;SWORD;T10_SWORD_Q4;"Masterpiece Sword";10;Masterpiece;1200;683.2;0;0;295.5;0;0;"20x T10_BAR"
Warrior;SHEATH;T1_SHEATH;"Sheath";1;Normal;100;31.3;68.7;114.5;0;0;0;"20x T1_BAR"
Warrior;SHEATH;T1_SHEATH_Q1;"Good Sheath";1;Good;120;32.8;72.1;120.2;0;0;0;"20x T1_BAR"
Warrior;SHEATH;T1_SHEATH_Q2;"Outstanding Sheath";1;Outstanding;150;34.5;75.7;126.2;0;0;0;"20x T1_BAR"
Warrior;SHEATH;T1_SHEATH_Q3;"Excellent Sheath";1;Excellent;200;36.2;79.5;132.5;0;0;0;"20x T1_BAR"
Warrior;SHEATH;T1_SHEATH_Q4;"Masterpiece Sheath";1;Masterpiece;300;38;83.5;139.1;0;0;0;"20x T1_BAR"
Warrior;SHEATH;T2_SHEATH;"Sheath";2;Normal;200;39.9;87.6;146.1;0;0;0;"20x T2_BAR"
Warrior;SHEATH;T2_SHEATH_Q1;"Good Sheath";2;Good;220;41.9;92;153.4;0;0;0;"20x T2_BAR"
Warrior;SHEATH;T2_SHEATH_Q2;"Outstanding Sheath";2;Outstanding;250;44;96.6;161;0;0;0;"20x T2_BAR"
Warrior;SHEATH;T2_SHEATH_Q3;"Excellent Sheath";2;Excellent;300;46.2;101.5;169.1;0;0;0;"20x T2_BAR"
Warrior;SHEATH;T2_SHEATH_Q4;"Masterpiece Sheath";2;Masterpiece;400;48.5;106.5;177.6;0;0;0;"20x T2_BAR"
Warrior;SHEATH;T3_SHEATH;"Sheath";3;Normal;300;50.9;111.9;186.4;0;0;0;"20x T3_BAR"
Warrior;SHEATH;T3_SHEATH_Q1;"Good Sheath";3;Good;320;53.5;117.5;195.8;0;0;0;"20x T3_BAR"
Warrior;SHEATH;T3_SHEATH_Q2;"Outstanding Sheath";3;Outstanding;350;56.2;123.3;205.5;0;0;0;"20x T3_BAR"
Warrior;SHEATH;T3_SHEATH_Q3;"Excellent Sheath";3;Excellent;400;59;129.5;215.8;0;0;0;"20x T3_BAR"
Warrior;SHEATH;T3_SHEATH_Q4;"Masterpiece Sheath";3;Masterpiece;500;61.9;136;226.6;0;0;0;"20x T3_BAR"
Warrior;SHEATH;T4_SHEATH;"Sheath";4;Normal;400;65;142.8;237.9;0;0;0;"20x T4_BAR"
Warrior;SHEATH;T4_SHEATH_Q1;"Good Sheath";4;Good;420;68.3;149.9;249.8;0;0;0;"20x T4_BAR"
Warrior;SHEATH;T4_SHEATH_Q2;"Outstanding Sheath";4;Outstanding;450;71.7;157.4;262.3;0;0;0;"20x T4_BAR"
Warrior;SHEATH;T4_SHEATH_Q3;"Excellent Sheath";4;Excellent;500;75.3;165.3;275.4;0;0;0;"20x T4_BAR"
Warrior;SHEATH;T4_SHEATH_Q4;"Masterpiece Sheath";4;Masterpiece;600;79;173.5;289.2;0;0;0;"20x T4_BAR"
Warrior;SHEATH;T5_SHEATH;"Sheath";5;Normal;500;83;182.2;303.7;0;0;0;"20x T5_BAR"
