"Rune ID","Name","Tier","Stars","Rarity","Activity","Effect Type","Bonus Value (%)","Description"
"T1_RUNE_WOOD_XP_1STAR","T1 Woodcutting Rune of XP (1 Star)","1","1","Common","Woodcutting","XP","1","Increases Woodcutting XP by 1%"
"T1_RUNE_WOOD_XP_2STAR","T1 Woodcutting Rune of XP (2 Star)","1","2","Rare","Woodcutting","XP","1.66","Increases Woodcutting XP by 1.66%"
"T1_RUNE_WOOD_XP_3STAR","T1 Woodcutting Rune of XP (3 Star)","1","3","Legendary","Woodcutting","XP","2.31","Increases Woodcutting XP by 2.31%"
"T2_RUNE_WOOD_XP_1STAR","T2 Woodcutting Rune of XP (1 Star)","2","1","Common","Woodcutting","XP","2.97","Increases Woodcutting XP by 2.97%"
"T2_RUNE_WOOD_XP_2STAR","T2 Woodcutting Rune of XP (2 Star)","2","2","Rare","Woodcutting","XP","3.62","Increases Woodcutting XP by 3.62%"
"T2_RUNE_WOOD_XP_3STAR","T2 Woodcutting Rune of XP (3 Star)","2","3","Legendary","Woodcutting","XP","4.28","Increases Woodcutting XP by 4.28%"
"T3_RUNE_WOOD_XP_1STAR","T3 Woodcutting Rune of XP (1 Star)","3","1","Common","Woodcutting","XP","4.93","Increases Woodcutting XP by 4.93%"
"T3_RUNE_WOOD_XP_2STAR","T3 Woodcutting Rune of XP (2 Star)","3","2","Rare","Woodcutting","XP","5.59","Increases Woodcutting XP by 5.59%"
"T3_RUNE_WOOD_XP_3STAR","T3 Woodcutting Rune of XP (3 Star)","3","3","Legendary","Woodcutting","XP","6.24","Increases Woodcutting XP by 6.24%"
"T4_RUNE_WOOD_XP_1STAR","T4 Woodcutting Rune of XP (1 Star)","4","1","Common","Woodcutting","XP","6.9","Increases Woodcutting XP by 6.9%"
"T4_RUNE_WOOD_XP_2STAR","T4 Woodcutting Rune of XP (2 Star)","4","2","Rare","Woodcutting","XP","7.55","Increases Woodcutting XP by 7.55%"
"T4_RUNE_WOOD_XP_3STAR","T4 Woodcutting Rune of XP (3 Star)","4","3","Legendary","Woodcutting","XP","8.21","Increases Woodcutting XP by 8.21%"
