Name,Tier,Rarity,IP,DMG,HP,DEF,SPEED,CRIT,GLOBAL_EFF
Normal Fire Staff,T1,Normal,100,45.2,,,137.7,,
Good Fire Staff,T1,Good,120,54.3,,,140.7,,
Outstanding Fire Staff,T1,Outstanding,150,67.8,,,143.7,,
Excellent Fire Staff,T1,Excellent,200,90.4,,,146.7,,
Masterpiece Fire Staff,T1,Masterpiece,300,135.7,,,149.7,,
Normal Fire Staff,T2,Normal,200,113.1,,,152.7,,
Good Fire Staff,T2,Good,220,135.7,,,155.7,,
Outstanding Fire Staff,T2,Outstanding,250,169.6,,,158.7,,
Excellent Fire Staff,T2,Excellent,300,226.1,,,161.7,,
Masterpiece Fire Staff,T2,Masterpiece,400,339.2,,,164.7,,
Normal Fire Staff,T3,Normal,300,271.3,,,167.7,,
Good Fire Staff,T3,Good,320,325.6,,,170.7,,
Outstanding Fire Staff,T3,Outstanding,350,407,,,173.7,,
Excellent Fire Staff,T3,Excellent,400,542.7,,,176.7,,
Masterpiece Fire Staff,T3,Masterpiece,500,814,,,179.7,,
Normal Fire Staff,T4,Normal,400,678.3,,,182.7,,
Good Fire Staff,T4,Good,420,814,,,185.7,,
Outstanding Fire Staff,T4,Outstanding,450,1017.5,,,188.7,,
Excellent Fire Staff,T4,Excellent,500,1356.7,,,191.7,,
Masterpiece Fire Staff,T4,Masterpiece,600,2035,,,194.7,,
Normal Fire Staff,T5,Normal,500,1808.9,,,197.7,,
Good Fire Staff,T5,Good,520,2170.7,,,200.7,,
Outstanding Fire Staff,T5,Outstanding,550,2713.3,,,203.7,,
Excellent Fire Staff,T5,Excellent,600,3617.8,,,206.7,,
Masterpiece Fire Staff,T5,Masterpiece,700,5426.7,,,209.7,,
Normal Fire Staff,T6,Normal,600,4522.2,,,212.7,,
Good Fire Staff,T6,Good,620,5426.7,,,215.7,,
Outstanding Fire Staff,T6,Outstanding,650,6783.3,,,218.7,,
Excellent Fire Staff,T6,Excellent,700,9044.4,,,221.7,,
Masterpiece Fire Staff,T6,Masterpiece,800,13566.7,,,224.7,,
Normal Fire Staff,T7,Normal,700,11305.5,,,227.7,,
Good Fire Staff,T7,Good,720,13566.7,,,230.7,,
Outstanding Fire Staff,T7,Outstanding,750,16958.3,,,233.7,,
Excellent Fire Staff,T7,Excellent,800,22611.1,,,236.7,,
Masterpiece Fire Staff,T7,Masterpiece,900,33916.6,,,239.7,,
Normal Fire Staff,T8,Normal,800,27133.3,,,242.7,,
Good Fire Staff,T8,Good,820,32560,,,245.7,,
Outstanding Fire Staff,T8,Outstanding,850,40700,,,248.7,,
Excellent Fire Staff,T8,Excellent,900,54266.6,,,251.7,,
Masterpiece Fire Staff,T8,Masterpiece,1000,81400,,,254.7,,
Normal Fire Staff,T9,Normal,900,63311.1,,,257.7,,
Good Fire Staff,T9,Good,920,75973.3,,,260.7,,
Outstanding Fire Staff,T9,Outstanding,950,94966.6,,,263.7,,
Excellent Fire Staff,T9,Excellent,1000,126622.2,,,266.7,,
Masterpiece Fire Staff,T9,Masterpiece,1100,189933.2,,,269.7,,
Normal Fire Staff,T10,Normal,1000,135666.6,,,272.7,,
Good Fire Staff,T10,Good,1020,162799.9,,,275.7,,
Outstanding Fire Staff,T10,Outstanding,1050,203499.9,,,278.7,,
Excellent Fire Staff,T10,Excellent,1100,271333.2,,,281.7,,
Masterpiece Fire Staff,T10,Masterpiece,1200,406999.8,,,284.7,,
Normal Tome,T1,Normal,100,20.6,,,,0.17%,
Good Tome,T1,Good,120,24.7,,,,0.2%,
Outstanding Tome,T1,Outstanding,150,30.8,,,,0.25%,
Excellent Tome,T1,Excellent,200,41.1,,,,0.33%,
Masterpiece Tome,T1,Masterpiece,300,61.7,,,,0.5%,
Normal Tome,T2,Normal,200,51.4,,,,0.33%,
Good Tome,T2,Good,220,61.7,,,,0.4%,
Outstanding Tome,T2,Outstanding,250,77.1,,,,0.5%,
Excellent Tome,T2,Excellent,300,102.8,,,,0.67%,
Masterpiece Tome,T2,Masterpiece,400,154.2,,,,1%,
Normal Tome,T3,Normal,300,123.3,,,,0.5%,
Good Tome,T3,Good,320,148,,,,0.6%,
Outstanding Tome,T3,Outstanding,350,185,,,,0.75%,
Excellent Tome,T3,Excellent,400,246.7,,,,1%,
Masterpiece Tome,T3,Masterpiece,500,370,,,,1.5%,
Normal Tome,T4,Normal,400,308.3,,,,0.67%,
Good Tome,T4,Good,420,370,,,,0.8%,
Outstanding Tome,T4,Outstanding,450,462.5,,,,1%,
Excellent Tome,T4,Excellent,500,616.7,,,,1.33%,
Masterpiece Tome,T4,Masterpiece,600,925,,,,2%,
Normal Tome,T5,Normal,500,822.2,,,,0.83%,
Good Tome,T5,Good,520,986.7,,,,1%,
Outstanding Tome,T5,Outstanding,550,1233.3,,,,1.25%,
Excellent Tome,T5,Excellent,600,1644.4,,,,1.67%,
Masterpiece Tome,T5,Masterpiece,700,2466.7,,,,2.5%,
Normal Tome,T6,Normal,600,2055.6,,,,1%,
Good Tome,T6,Good,620,2466.7,,,,1.2%,
Outstanding Tome,T6,Outstanding,650,3083.3,,,,1.5%,
Excellent Tome,T6,Excellent,700,4111.1,,,,2%,
Masterpiece Tome,T6,Masterpiece,800,6166.7,,,,3%,
Normal Tome,T7,Normal,700,5138.9,,,,1.17%,
Good Tome,T7,Good,720,6166.7,,,,1.4%,
Outstanding Tome,T7,Outstanding,750,7708.3,,,,1.75%,
Excellent Tome,T7,Excellent,800,10277.8,,,,2.33%,
Masterpiece Tome,T7,Masterpiece,900,15416.7,,,,3.5%,
Normal Tome,T8,Normal,800,12333.4,,,,1.33%,
Good Tome,T8,Good,820,14800,,,,1.6%,
Outstanding Tome,T8,Outstanding,850,18500,,,,2%,
Excellent Tome,T8,Excellent,900,24666.7,,,,2.67%,
Masterpiece Tome,T8,Masterpiece,1000,37000.1,,,,4%,
Normal Tome,T9,Normal,900,28777.8,,,,1.5%,
