Level,Warrior_DMG,Warrior_HP,Warrior_DEF,Warrior_SpeedBonus,Hunter_DMG,Hunter_HP,Hunter_DEF,Hunter_SpeedBonus,Mage_DMG,Mage_HP,Mage_DEF,Mage_SpeedBonus
1,"4,8",40,20,"2,4","4,8",35,10,"3,2","16,5",30,"6,0","2,4"
2,"5,0",42,21,"2,5","5,0",37,"10,5","3,4","17,3",31,"6,3","2,5"
3,"5,3",44,22,"2,6","5,3",39,11,"3,5","18,2",33,"6,6","2,6"
4,"5,5",46,23,"2,8","5,5",40,"11,6","3,7","19,1",35,"6,9","2,8"
5,"5,8",49,24,"2,9","5,8",43,"12,1","3,9","20,1",36,"7,3","2,9"
6,"6,1",51,26,"3,1","6,1",45,"12,7","4,1","21,1",38,"7,6","3,1"
7,"6,4",54,27,"3,2","6,4",47,"13,4","4,3","22,1",40,"8,0","3,2"
8,"6,7",56,28,"3,4","6,7",49,14,"4,5","23,2",42,"8,4","3,4"
9,"7,1",59,30,"3,5","7,1",52,"14,7","4,7","24,4",44,"8,8","3,5"
10,"7,4",62,31,"3,7","7,4",54,"15,5",5,"25,6",47,"9,3","3,7"
11,"7,8",65,33,"3,9","7,8",57,"16,3","5,2","26,9",49,"9,8","3,9"
12,"8,2",68,34,"4,1","8,2",60,"17,1","5,5","28,3",51,"10,2","4,1"
13,"8,6",72,36,"4,3","8,6",63,"17,9","5,7","29,7",54,"10,8","4,3"
14,"9,0",75,38,"4,5","9,0",66,"18,8",6,"31,2",57,"11,3","4,5"
15,"9,5",79,40,"4,7","9,5",69,"19,8","6,3","32,7",59,"11,9","4,7"
16,"10,0",83,42,5,"10,0",73,"20,7","6,6","34,3",62,"12,4",5
17,"10,5",87,44,"5,2","10,5",76,"21,8",7,"36,1",65,"13,1","5,2"
18,"11,0",92,46,"5,5","11,0",80,"22,9","7,3","37,9",69,"13,7","5,5"
19,"11,5",96,48,"5,8","11,5",84,24,"7,7","39,8",72,"14,4","5,8"
20,"12,1",101,50,"6,1","12,1",88,"25,2","8,1","41,7",76,"15,1","6,1"
21,"12,7",106,53,"6,4","12,7",93,"26,5","8,5","43,8",79,"15,9","6,4"
22,"13,3",111,56,"6,7","13,3",97,"27,8","8,9","46,0",83,"16,7","6,7"
23,"14,0",117,58,7,"14,0",102,"29,2","9,3","48,3",88,"17,5",7
24,"14,7",123,61,"7,4","14,7",107,"30,7","9,8","50,7",92,"18,4","7,4"
25,"15,5",129,64,"7,7","15,5",113,"32,2","10,3","53,3",97,"19,3","7,7"
26,"16,2",135,68,"8,1","16,2",118,"33,8","10,8","55,9",101,"20,3","8,1"
27,"17,0",142,71,"8,5","17,0",124,"35,5","11,4","58,7",107,"21,3","8,5"
28,"17,9",149,75,"8,9","17,9",130,"37,3","11,9","61,7",112,"22,4","8,9"
29,"18,8",157,78,"9,4","18,8",137,"39,1","12,5","64,8",117,"23,5","9,4"
30,"19,7",164,82,"9,9","19,7",144,"41,1","13,1","68,0",123,"24,6","9,9"
31,"20,7",173,86,"10,4","20,7",151,"43,1","13,8","71,4",129,"25,9","10,4"
32,"21,7",181,91,"10,9","21,7",159,"45,3","14,5","75,0",136,"27,2","10,9"
33,"22,8",190,95,"11,4","22,8",167,"47,6","15,2","78,7",143,"28,5","11,4"
34,"24,0",200,100,12,"24,0",175,"49,9",16,"82,7",150,"30,0",12
35,"25,2",210,105,"12,6","25,2",184,"52,4","16,8","86,8",157,"31,5","12,6"
36,"26,4",220,110,"13,2","26,4",193,"55,1","17,6","91,1",165,"33,0","13,2"
