Category,ID,Name,Tier,Type,CurrentIcon
"CONSUMABLE > INVENTORY_SLOT_TICKET","INVENTORY_SLOT_TICKET","Inventory Slot expansion","N/A","CONSUMABLE","NONE"
"CONSUMABLE > NAME_CHANGE_TOKEN","NAME_CHANGE_TOKEN","Name Change Token","N/A","CONSUMABLE","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 1","T1_SWORD","Sword","1","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 2","T2_SWORD","Sword","2","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 3","T3_SWORD","Sword","3","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 4","T4_SWORD","Sword","4","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 5","T5_SWORD","Sword","5","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 6","T6_SWORD","Sword","6","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 7","T7_SWORD","Sword","7","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 8","T8_SWORD","Sword","8","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 9","T9_SWORD","Sword","9","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SWORD > 10","T10_SWORD","Sword","10","WEAPON","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 1","T1_SHIELD","Shield","1","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 2","T2_SHIELD","Shield","2","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 3","T3_SHIELD","Shield","3","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 4","T4_SHIELD","Shield","4","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 5","T5_SHIELD","Shield","5","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 6","T6_SHIELD","Shield","6","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 7","T7_SHIELD","Shield","7","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 8","T8_SHIELD","Shield","8","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 9","T9_SHIELD","Shield","9","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > SHIELD > 10","T10_SHIELD","Shield","10","OFF_HAND","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 1","T1_PLATE_ARMOR","Plate Armor","1","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 2","T2_PLATE_ARMOR","Plate Armor","2","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 3","T3_PLATE_ARMOR","Plate Armor","3","ARMOR","NONE"
