Type,Item Name,Item ID,Tier,Quick Sell Value
ARMOR,Cloth Armor,T1_CLOTH_ARMOR,1,40
ARMOR,Cloth Armor (Excellent),T1_CLOTH_ARMOR_Q3,1,60
ARMOR,Cloth Armor (Good),T1_CLOTH_ARMOR_Q1,1,80
ARMOR,Cloth Armor (Masterpiece),T1_CLOTH_ARMOR_Q4,1,100
ARMOR,Cloth Armor (Outstanding),T1_CLOTH_ARMOR_Q2,1,120
ARMOR,Leather Armor,T1_LEATHER_ARMOR,1,40
ARMOR,Leather Armor (Excellent),T1_LEATHER_ARMOR_Q3,1,60
ARMOR,Leather Armor (Good),T1_LEATHER_ARMOR_Q1,1,80
ARMOR,Leather Armor (Masterpiece),T1_LEATHER_ARMOR_Q4,1,100
ARMOR,Leather Armor (Outstanding),T1_LEATHER_ARMOR_Q2,1,120
ARMOR,Plate Armor,T1_PLATE_ARMOR,1,40
ARMOR,Plate Armor (Excellent),T1_PLATE_ARMOR_Q3,1,60
ARMOR,Plate Armor (Good),T1_PLATE_ARMOR_Q1,1,80
ARMOR,Plate Armor (Masterpiece),T1_PLATE_ARMOR_Q4,1,100
ARMOR,Plate Armor (Outstanding),T1_PLATE_ARMOR_Q2,1,120
ARMOR,Cloth Armor,T2_CLOTH_ARMOR,2,80
ARMOR,Cloth Armor (Excellent),T2_CLOTH_ARMOR_Q3,2,120
ARMOR,Cloth Armor (Good),T2_CLOTH_ARMOR_Q1,2,160
ARMOR,Cloth Armor (Masterpiece),T2_CLOTH_ARMOR_Q4,2,200
ARMOR,Cloth Armor (Outstanding),T2_CLOTH_ARMOR_Q2,2,240
ARMOR,Leather Armor,T2_LEATHER_ARMOR,2,80
ARMOR,Leather Armor (Excellent),T2_LEATHER_ARMOR_Q3,2,120
ARMOR,Leather Armor (Good),T2_LEATHER_ARMOR_Q1,2,160
ARMOR,Leather Armor (Masterpiece),T2_LEATHER_ARMOR_Q4,2,200
ARMOR,Leather Armor (Outstanding),T2_LEATHER_ARMOR_Q2,2,240
ARMOR,Plate Armor,T2_PLATE_ARMOR,2,80
