"Rune ID","Name","Tier","Stars","Activity","Effect Type","Bonus Value (%)","Description"
"T1_RUNE_WOOD_XP_1STAR","T1 Woodcutting Rune of XP (1 Star)",1,1,"Woodcutting","XP",1,"Increases Woodcutting XP by 1%"
"T1_RUNE_WOOD_XP_2STAR","T1 Woodcutting Rune of XP (2 Star)",1,2,"Woodcutting","XP",3,"Increases Woodcutting XP by 3%"
"T1_RUNE_WOOD_XP_3STAR","T1 Woodcutting Rune of XP (3 Star)",1,3,"Woodcutting","XP",5,"Increases Woodcutting XP by 5%"
"T2_RUNE_WOOD_XP_1STAR","T2 Woodcutting Rune of XP (1 Star)",2,1,"Woodcutting","XP",6,"Increases Woodcutting XP by 6%"
"T2_RUNE_WOOD_XP_2STAR","T2 Woodcutting Rune of XP (2 Star)",2,2,"Woodcutting","XP",8,"Increases Woodcutting XP by 8%"
"T2_RUNE_WOOD_XP_3STAR","T2 Woodcutting Rune of XP (3 Star)",2,3,"Woodcutting","XP",10,"Increases Woodcutting XP by 10%"
"T3_RUNE_WOOD_XP_1STAR","T3 Woodcutting Rune of XP (1 Star)",3,1,"Woodcutting","XP",11,"Increases Woodcutting XP by 11%"
"T3_RUNE_WOOD_XP_2STAR","T3 Woodcutting Rune of XP (2 Star)",3,2,"Woodcutting","XP",13,"Increases Woodcutting XP by 13%"
"T3_RUNE_WOOD_XP_3STAR","T3 Woodcutting Rune of XP (3 Star)",3,3,"Woodcutting","XP",15,"Increases Woodcutting XP by 15%"
"T4_RUNE_WOOD_XP_1STAR","T4 Woodcutting Rune of XP (1 Star)",4,1,"Woodcutting","XP",16,"Increases Woodcutting XP by 16%"
"T4_RUNE_WOOD_XP_2STAR","T4 Woodcutting Rune of XP (2 Star)",4,2,"Woodcutting","XP",18,"Increases Woodcutting XP by 18%"
"T4_RUNE_WOOD_XP_3STAR","T4 Woodcutting Rune of XP (3 Star)",4,3,"Woodcutting","XP",20,"Increases Woodcutting XP by 20%"
"T5_RUNE_WOOD_XP_1STAR","T5 Woodcutting Rune of XP (1 Star)",5,1,"Woodcutting","XP",21,"Increases Woodcutting XP by 21%"
"T5_RUNE_WOOD_XP_2STAR","T5 Woodcutting Rune of XP (2 Star)",5,2,"Woodcutting","XP",23,"Increases Woodcutting XP by 23%"
"T5_RUNE_WOOD_XP_3STAR","T5 Woodcutting Rune of XP (3 Star)",5,3,"Woodcutting","XP",25,"Increases Woodcutting XP by 25%"
"T6_RUNE_WOOD_XP_1STAR","T6 Woodcutting Rune of XP (1 Star)",6,1,"Woodcutting","XP",26,"Increases Woodcutting XP by 26%"
"T6_RUNE_WOOD_XP_2STAR","T6 Woodcutting Rune of XP (2 Star)",6,2,"Woodcutting","XP",28,"Increases Woodcutting XP by 28%"
"T6_RUNE_WOOD_XP_3STAR","T6 Woodcutting Rune of XP (3 Star)",6,3,"Woodcutting","XP",30,"Increases Woodcutting XP by 30%"
"T7_RUNE_WOOD_XP_1STAR","T7 Woodcutting Rune of XP (1 Star)",7,1,"Woodcutting","XP",31,"Increases Woodcutting XP by 31%"
"T7_RUNE_WOOD_XP_2STAR","T7 Woodcutting Rune of XP (2 Star)",7,2,"Woodcutting","XP",33,"Increases Woodcutting XP by 33%"
"T7_RUNE_WOOD_XP_3STAR","T7 Woodcutting Rune of XP (3 Star)",7,3,"Woodcutting","XP",35,"Increases Woodcutting XP by 35%"
"T8_RUNE_WOOD_XP_1STAR","T8 Woodcutting Rune of XP (1 Star)",8,1,"Woodcutting","XP",36,"Increases Woodcutting XP by 36%"
"T8_RUNE_WOOD_XP_2STAR","T8 Woodcutting Rune of XP (2 Star)",8,2,"Woodcutting","XP",38,"Increases Woodcutting XP by 38%"
"T8_RUNE_WOOD_XP_3STAR","T8 Woodcutting Rune of XP (3 Star)",8,3,"Woodcutting","XP",40,"Increases Woodcutting XP by 40%"
"T9_RUNE_WOOD_XP_1STAR","T9 Woodcutting Rune of XP (1 Star)",9,1,"Woodcutting","XP",41,"Increases Woodcutting XP by 41%"
"T9_RUNE_WOOD_XP_2STAR","T9 Woodcutting Rune of XP (2 Star)",9,2,"Woodcutting","XP",43,"Increases Woodcutting XP by 43%"
"T9_RUNE_WOOD_XP_3STAR","T9 Woodcutting Rune of XP (3 Star)",9,3,"Woodcutting","XP",45,"Increases Woodcutting XP by 45%"
"T10_RUNE_WOOD_XP_1STAR","T10 Woodcutting Rune of XP (1 Star)",10,1,"Woodcutting","XP",46,"Increases Woodcutting XP by 46%"
"T10_RUNE_WOOD_XP_2STAR","T10 Woodcutting Rune of XP (2 Star)",10,2,"Woodcutting","XP",48,"Increases Woodcutting XP by 48%"
"T10_RUNE_WOOD_XP_3STAR","T10 Woodcutting Rune of XP (3 Star)",10,3,"Woodcutting","XP",50,"Increases Woodcutting XP by 50%"
"T1_RUNE_WOOD_COPY_1STAR","T1 Woodcutting Rune of Duplication (1 Star)",1,1,"Woodcutting","Duplication",1,"Increases Woodcutting Duplication by 1%"
"T1_RUNE_WOOD_COPY_2STAR","T1 Woodcutting Rune of Duplication (2 Star)",1,2,"Woodcutting","Duplication",3,"Increases Woodcutting Duplication by 3%"
"T1_RUNE_WOOD_COPY_3STAR","T1 Woodcutting Rune of Duplication (3 Star)",1,3,"Woodcutting","Duplication",5,"Increases Woodcutting Duplication by 5%"
"T2_RUNE_WOOD_COPY_1STAR","T2 Woodcutting Rune of Duplication (1 Star)",2,1,"Woodcutting","Duplication",6,"Increases Woodcutting Duplication by 6%"
"T2_RUNE_WOOD_COPY_2STAR","T2 Woodcutting Rune of Duplication (2 Star)",2,2,"Woodcutting","Duplication",8,"Increases Woodcutting Duplication by 8%"
"T2_RUNE_WOOD_COPY_3STAR","T2 Woodcutting Rune of Duplication (3 Star)",2,3,"Woodcutting","Duplication",10,"Increases Woodcutting Duplication by 10%"
