Name,Tier,Rarity,IP,DMG,HP,DEF,SPEED,CRIT,GLOBAL_EFF
Normal Fire Staff,T1,Normal,100,185,0,,26,,
Good Fire Staff,T1,Good,120,195,0,,"27,3",,
Outstanding Fire Staff,T1,Outstanding,150,204,0,,"28,6",,
Excellent Fire Staff,T1,Excellent,200,215,0,,"30,1",,
Masterpiece Fire Staff,T1,Masterpiece,300,225,0,,"31,6",,
Normal Fire Staff,T2,Normal,200,237,0,,"33,1",,
Good Fire Staff,T2,Good,220,248,0,,"34,8",,
Outstanding Fire Staff,T2,Outstanding,250,261,0,,"36,5",,
Excellent Fire Staff,T2,Excellent,300,274,0,,"38,4",,
Masterpiece Fire Staff,T2,Masterpiece,400,288,0,,"40,3",,
Normal Fire Staff,T3,Normal,300,302,0,,"42,3",,
Good Fire Staff,T3,Good,320,317,0,,"44,4",,
Outstanding Fire Staff,T3,Outstanding,350,333,0,,"46,6",,
Excellent Fire Staff,T3,Excellent,400,350,0,,"48,9",,
Masterpiece Fire Staff,T3,Masterpiece,500,367,0,,"51,4",,
Normal Fire Staff,T4,Normal,400,385,0,,54,,
Good Fire Staff,T4,Good,420,405,0,,"56,7",,
Outstanding Fire Staff,T4,Outstanding,450,425,0,,"59,5",,
Excellent Fire Staff,T4,Excellent,500,446,0,,"62,5",,
Masterpiece Fire Staff,T4,Masterpiece,600,468,0,,"65,6",,
Normal Fire Staff,T5,Normal,500,492,0,,"68,9",,
Good Fire Staff,T5,Good,520,517,0,,"72,3",,
Outstanding Fire Staff,T5,Outstanding,550,542,0,,"75,9",,
Excellent Fire Staff,T5,Excellent,600,569,0,,"79,7",,
Masterpiece Fire Staff,T5,Masterpiece,700,598,0,,"83,7",,
Normal Fire Staff,T6,Normal,600,628,0,,"87,9",,
Good Fire Staff,T6,Good,620,659,0,,"92,3",,
Outstanding Fire Staff,T6,Outstanding,650,692,0,,"96,9",,
Excellent Fire Staff,T6,Excellent,700,727,0,,"101,8",,
Masterpiece Fire Staff,T6,Masterpiece,800,763,0,,"106,9",,
Normal Fire Staff,T7,Normal,700,801,0,,"112,2",,
Good Fire Staff,T7,Good,720,841,0,,"117,8",,
Outstanding Fire Staff,T7,Outstanding,750,883,0,,"123,7",,
Excellent Fire Staff,T7,Excellent,800,928,0,,"129,9",,
Masterpiece Fire Staff,T7,Masterpiece,900,974,0,,"136,4",,
