Category,Slot,Name,Tier,Rarity,Damage,Defense,HP,Speed
Warrior's Forge,SWORD,Sword,1,Normal,18,0,0,1.5%
Warrior's Forge,SWORD,Sword,1,Good,54,0,0,4.5%
Warrior's Forge,SWORD,Sword,1,Outstanding,90,0,0,7.5%
Warrior's Forge,SWORD,Sword,1,Excellent,126,0,0,10.5%
Warrior's Forge,SWORD,Sword,1,Masterpiece,162,0,0,13.5%
Warrior's Forge,SWORD,Sword,2,Normal,108,0,0,9.0%
Warrior's Forge,SWORD,Sword,2,Good,144,0,0,12.0%
Warrior's Forge,SWORD,Sword,2,Outstanding,180,0,0,15.0%
Warrior's Forge,SWORD,Sword,2,Excellent,216,0,0,18.0%
Warrior's Forge,SWORD,Sword,2,Masterpiece,252,0,0,21.0%
Warrior's Forge,SWORD,Sword,3,Normal,198,0,0,16.5%
Warrior's Forge,SWORD,Sword,3,Good,234,0,0,19.5%
Warrior's Forge,SWORD,Sword,3,Outstanding,270,0,0,22.5%
Warrior's Forge,SWORD,Sword,3,Excellent,306,0,0,25.5%
Warrior's Forge,SWORD,Sword,3,Masterpiece,342,0,0,28.5%
Warrior's Forge,SWORD,Sword,4,Normal,288,0,0,24.0%
Warrior's Forge,SWORD,Sword,4,Good,324,0,0,27.0%
Warrior's Forge,SWORD,Sword,4,Outstanding,360,0,0,30.0%
Warrior's Forge,SWORD,Sword,4,Excellent,396,0,0,33.0%
Warrior's Forge,SWORD,Sword,4,Masterpiece,432,0,0,36.0%
Warrior's Forge,SWORD,Sword,5,Normal,378,0,0,31.5%
Warrior's Forge,SWORD,Sword,5,Good,414,0,0,34.5%
Warrior's Forge,SWORD,Sword,5,Outstanding,450,0,0,37.5%
Warrior's Forge,SWORD,Sword,5,Excellent,486,0,0,40.5%
Warrior's Forge,SWORD,Sword,5,Masterpiece,522,0,0,43.5%
Warrior's Forge,SWORD,Sword,6,Normal,468,0,0,39.0%
Warrior's Forge,SWORD,Sword,6,Good,504,0,0,42.0%
Warrior's Forge,SWORD,Sword,6,Outstanding,540,0,0,45.0%
Warrior's Forge,SWORD,Sword,6,Excellent,576,0,0,48.0%
Warrior's Forge,SWORD,Sword,6,Masterpiece,612,0,0,51.0%
